0, 0, 11
1, 0, 10
2, 0, 1
3, 0, 4
4, 0, 5
5, 0, 6
6, 0, 12
7, 0, 16
8, 0, 9  
9, 0, 14  
10, 0, 15  
11, 0, 13  
12, 0, 2
13, 0, 7
14, 0, 8
15, 0, 3
0, 1, 2
1, 1, 13     
2, 1, 16
3, 1, 14
4, 1, 9
5, 1, 7
6, 1, 3
7, 1, 15
8, 1, 6
9, 1, 4
10, 1, 8
11, 1, 1
12, 1, 11
13, 1, 12
14, 1, 10
15, 1, 5
0, 2, 5
1, 2, 7
2, 2, 3
3, 2, 12
4, 2, 1
5, 2, 8
6, 2, 14
7, 2, 13
8, 2, 16
9, 2, 10
10, 2, 11
11, 2, 2
12, 2, 4
13, 2, 6
14, 2, 9
15, 2, 15
0, 3, 15
1, 3, 8
2, 3, 9
3, 3, 6
4, 3, 11
5, 3, 4
6, 3, 10
7, 3, 2
8, 3, 5
9, 3, 3
10, 3, 7
11, 3, 12
12, 3, 16
13, 3, 13
14, 3, 1
15, 3, 14
0, 4, 16
1, 4, 15
2, 4, 11
3, 4, 8
4, 4, 12
5, 4, 10
6, 4, 6
7, 4, 3
8, 4, 13
9, 4, 2
10, 4, 1
11, 4, 14
12, 4, 7
13, 4, 5
14, 4, 4
15, 4, 9
0, 5, 12
1, 5, 3
2, 5, 10
3, 5, 9
4, 5, 15
5, 5, 13
6, 5, 11
7, 5, 1
8, 5, 4
9, 5, 7
10, 5, 5
11, 5, 16
12, 5, 14
13, 5, 2
14, 5, 6
15, 5, 8
0, 6, 7
1, 6, 5
2, 6, 6
3, 6, 1
4, 6, 4
5, 6, 14
6, 6, 2
7, 6, 9
8, 6, 11
9, 6, 12
10, 6, 10
11, 6, 8
12, 6, 15
13, 6, 16
14, 6, 3
15, 6, 13
